Variable,Nationality,Position,GP_17,MP_17,YC_17,RC_17,Goals17,Assists17,Shots17,Shots_On_Target17,Offsides17,Touches17,Passes17,Crosses17,Blocks17,Interceptions17,Tackles17,Clearances17,Jostles_Won17,Jostles_Lost17,Fouls17,Clean_Sheets17,Goals_Allowed17,Saves17,Punches17,High_Claims17,Goal_Kicks17,GP_16,MP_16,YC_16,RC_16,Goals16,Assists16,Shots16,Shots_On_Target16,Offsides16,Touches16,Passes16,Crosses16,Blocks16,Interceptions16,Tackles16,Clearances16,Jostles_Won16,Jostles_Lost16,Fouls16,Clean_Sheets16,Goals_Allowed16,Saves16,Punches16,High_Claims16,Goal_Kicks16,All_GP,All_MP,All_YC,All_RC,AllGoals,AllAssists,AllShots,AllShots_On_Target,AllOffsides,AllTouches,AllPasses,AllCrosses,AllBlocks,AllInterceptions,AllTackles,AllClearances,AllJostles_Won,AllJostles_Lost,AllFouls,AllClean_Sheets,AllGoals_Allowed,AllSaves,AllPunches,AllHigh_Claims,AllGoal_Kicks
David Luiz, Brazil,D,10,839,4,1,1,0,11,4,0,641,492,1,5,24,18,41,17,16,12,0,0,0,0,0,0,33,2956,6,0,1,0,31,10,3,2036,1570,6,14,64,42,171,60,39,29,0,0,0,0,0,0,43,3795,10,1,2,0,42,14,3,2677,2062,7,19,88,60,212,77,55,41,0,0,0,0,0,0
David Ospina, Colombia,GK,5,380,0,0,0,0,0,0,0,169,117,0,0,0,0,5,5,0,0,2,3,9,4,6,28,2,142,0,0,0,0,0,0,0,59,44,0,0,0,0,3,1,0,0,0,4,4,0,1,11,7,522,0,0,0,0,0,0,0,228,161,0,0,0,0,8,6,0,0,2,7,13,4,7,39
David Silva, Spain,M,29,2435,5,0,9,11,54,20,4,2832,2429,74,5,18,32,6,17,11,21,0,0,0,0,0,0,34,2766,6,0,4,7,48,17,5,2648,2075,125,4,17,43,21,16,32,29,0,0,0,0,0,0,63,5201,11,0,13,18,102,37,9,5480,4504,199,9,35,75,27,33,43,50,0,0,0,0,0,0
Declan Rice, Ireland,D,26,1423,1,0,0,0,5,0,0,778,573,5,13,27,36,70,31,35,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,1424,1,0,0,0,5,0,0,784,579,5,13,27,36,70,31,36,5,0,0,0,0,0,0
Dejan Lovren, Croatia,D,29,2125,4,0,2,1,14,4,1,2089,1803,4,15,38,26,142,104,60,15,0,0,0,0,0,0,29,2554,6,0,2,1,15,5,1,2387,2001,7,16,45,41,182,103,57,25,0,0,0,0,0,0,58,4679,10,0,4,2,29,9,2,4476,3804,11,31,83,67,324,207,117,40,0,0,0,0,0,0
Dele Alli, England,M,36,2970,7,0,9,10,69,17,5,1951,1251,18,7,19,46,18,30,52,43,0,0,0,0,0,0,37,3043,4,0,18,7,94,44,11,2029,1328,22,1,11,52,17,14,26,50,0,0,0,0,0,0,73,6013,11,0,27,17,163,61,16,3980,2579,40,8,30,98,35,44,78,93,0,0,0,0,0,0
Demarai Gray, England,M,35,1690,2,0,3,1,36,9,4,961,557,86,0,11,17,11,5,24,7,0,0,0,0,0,0,30,1038,2,0,1,3,27,8,2,640,326,82,1,8,19,10,5,33,10,0,0,0,0,0,0,65,2728,4,0,4,4,63,17,6,1601,883,168,1,19,36,21,10,57,17,0,0,0,0,0,0
Diafra Sakho, Senegal,F,14,294,2,0,2,0,9,3,5,144,64,3,0,1,5,2,16,27,4,0,0,0,0,0,0,4,181,0,0,1,0,3,1,6,66,32,2,0,0,1,4,7,12,3,0,0,0,0,0,0,18,475,2,0,3,0,12,4,11,210,96,5,0,1,6,6,23,39,7,0,0,0,0,0,0
Divock Origi, Belgium,F,1,9,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,34,1459,0,0,7,3,38,15,13,724,391,31,2,3,11,2,31,89,22,0,0,0,0,0,0,35,1468,0,0,7,3,38,15,13,728,393,31,2,3,11,2,31,90,22,0,0,0,0,0,0
Dominic Calvert-Lewin, England,F,32,1875,4,0,4,6,43,17,15,845,493,19,1,10,15,22,135,170,43,0,0,0,0,0,0,11,345,1,0,1,0,7,1,1,165,87,0,1,5,7,7,17,6,4,0,0,0,0,0,0,43,2220,5,0,5,6,50,18,16,1010,580,19,2,15,22,29,152,176,47,0,0,0,0,0,0
Dusan Tadic, Serbia,F,36,2810,4,0,6,3,40,16,10,1744,1111,121,2,19,46,18,8,42,46,0,0,0,0,0,0,33,2426,4,0,3,5,63,21,9,1675,1061,184,2,17,19,10,4,14,30,0,0,0,0,0,0,69,5236,8,0,9,8,103,37,19,3419,2172,305,4,36,65,28,12,56,76,0,0,0,0,0,0
Eden Hazard, Belgium,F,34,2432,2,0,12,4,71,37,16,2010,1369,51,0,3,6,0,8,19,13,0,0,0,0,0,0,36,3002,3,0,16,5,77,33,8,2486,1750,84,0,28,18,4,20,34,19,0,0,0,0,0,0,70,5434,5,0,28,9,148,70,24,4496,3119,135,0,31,24,4,28,53,32,0,0,0,0,0,0
Edimilson Fernandes, Switzerland,M,14,845,1,0,0,1,7,1,0,413,268,7,1,16,17,4,10,16,5,0,0,0,0,0,0,28,986,4,0,0,0,20,4,1,687,473,11,2,19,22,10,3,12,16,0,0,0,0,0,0,42,1831,5,0,0,1,27,5,1,1100,741,18,3,35,39,14,13,28,21,0,0,0,0,0,0
Eldin Jakupovic, Switzerland,GK,2,180,0,0,0,0,0,0,0,71,43,0,0,0,0,5,1,0,0,0,6,8,1,0,14,22,1980,0,0,0,0,0,0,0,856,637,0,0,1,0,20,6,0,0,5,36,74,11,18,228,24,2160,0,0,0,0,0,0,0,927,680,0,0,1,0,25,7,0,0,5,42,82,12,18,242
Emre Can, Germany,M,26,2094,8,0,3,4,27,8,0,1909,1543,11,4,28,67,32,46,49,27,0,0,0,0,0,0,32,2368,6,0,5,2,45,11,2,2097,1659,23,3,32,66,52,68,57,70,0,0,0,0,0,0,58,4462,14,0,8,6,72,19,2,4006,3202,34,7,60,133,84,114,106,97,0,0,0,0,0,0
Eric Bailly, Cote D'Ivoire,D,13,1000,2,0,1,0,3,1,0,575,426,0,6,25,17,56,17,8,10,0,0,0,0,0,0,25,2060,4,0,0,0,6,1,0,1273,876,2,16,60,60,126,37,30,28,0,0,0,0,0,0,38,3060,6,0,1,0,9,2,0,1848,1302,2,22,85,77,182,54,38,38,0,0,0,0,0,0
